assists,evGoals,evPoints,faceoffWinPct,gameDate,gameId,gameWinningGoals,gamesPlayed,goals,homeRoad,lastName,opponentTeamAbbrev,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrev,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts,seasonId
0,0,0,,2023-01-16,2022020697,0,1,0,R,Smith,SJS,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,979.0,0,0.0,,0,,0,1,3.67,2,7.35,0,,0,0,,0,0,1,0,0.0,2,20222023
1,0,1,,2023-01-19,2022020728,0,1,0,R,Smith,SEA,0,2,8474090,1,1,1.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,1309.0,0,0.0,0.0,0,0.0,0,1,2.75,4,11.0,0,,0,0,,0,0,3,1,2.75,5,20222023
0,0,0,,2023-01-22,2022020746,0,1,0,H,Smith,PIT,0,0,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,904.0,1,3.98,,0,,0,0,0.0,1,3.98,0,,0,0,,0,0,2,0,0.0,2,20222023
0,0,0,,2023-01-24,2022020759,0,1,0,H,Smith,VGK,0,2,8474090,-1,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,1112.0,1,3.23,,0,,0,1,3.23,2,6.47,0,,0,0,,0,0,1,1,3.23,2,20222023
0,0,0,,2023-01-26,2022020775,0,1,0,R,Smith,NSH,0,2,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,784.0,2,9.18,,0,,0,1,4.59,1,4.59,0,,0,0,,0,0,0,0,0.0,0,20222023
0,0,0,,2023-01-27,2022020785,0,1,0,R,Smith,DAL,0,0,8474090,0,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,660.0,3,16.36,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,0,0.0,1,20222023
0,0,0,,2023-02-06,2022020810,0,1,0,H,Smith,VAN,0,0,8474090,-2,0,0.0,D,0,0,0,0,0.0,L,1,Brendan Smith,NJD,703.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,2,0,0.0,3,20222023
0,0,0,,2023-02-18,2022020886,0,1,0,R,Smith,PIT,0,2,8474090,0,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,1138.0,4,12.65,,0,,0,0,0.0,0,0.0,0,,0,0,,0,0,0,1,3.16,0,20222023
0,0,0,,2023-02-19,2022020900,0,1,0,H,Smith,WPG,0,2,8474090,1,0,0.0,D,0,0,0,0,,L,0,Brendan Smith,NJD,939.0,0,0.0,,0,,0,0,0.0,2,7.66,0,,0,0,,1,1,0,0,0.0,1,20222023
0,0,0,,2023-02-21,2022020910,0,1,0,H,Smith,MTL,0,2,8474090,0,0,0.0,D,0,0,0,0,0.0,L,2,Brendan Smith,NJD,992.0,0,0.0,,0,,0,0,0.0,0,0.0,0,,0,0,,1,1,3,0,0.0,6,20222023
