assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,blockedShots,blockedShotsPer60,emptyNetAssists,emptyNetGoals,emptyNetPoints,firstGoals,giveaways,giveawaysPer60,hits,hitsPer60,missedShotCrossbar,missedShotFailedBankAttempt,missedShotGoalpost,missedShotOverNet,missedShotShort,missedShotWideOfNet,missedShots,shotAttemptsBlocked,takeaways,takeawaysPer60,totalShotAttempts
32,18,34,0.18181,3,82,24,Perron,0,52,8474102,-7,56,0.68292,L,6,22,20222023,0,0,0.12307,R,195,David Perron,DET,1015.1097,24,1.03,1.0,2,3.0,2,32,1.38,107,4.62,1,,7,9,,55,72,83,40,1.72,350
36,17,35,0.5,1,73,21,Kane,0,16,8474141,-22,57,0.78082,R,4,22,20222023,0,0,0.09251,L,227,Patrick Kane,"CHI,NYR",1158.5205,19,0.8,1.0,0,1.0,5,61,2.59,13,0.55,0,,10,11,,48,69,75,31,1.31,371
3,2,5,,0,43,2,Bortuzzo,0,29,8474145,9,5,0.11627,D,0,0,20222023,0,0,0.06666,R,30,Robert Bortuzzo,STL,754.0,49,5.44,0.0,0,0.0,1,12,1.33,64,7.1,0,,0,1,,11,12,17,7,0.77,59
26,7,25,0.25,0,73,7,Dadonov,0,18,8474149,-8,33,0.45205,L,0,8,20222023,0,0,0.06363,L,110,Evgenii Dadonov,"MTL,DAL",883.4383,43,2.4,0.0,0,0.0,1,32,1.78,33,1.84,0,,3,4,,35,42,52,21,1.17,204
37,13,40,0.50865,2,82,19,Backlund,1,36,8474150,24,56,0.68292,C,5,12,20222023,1,4,0.07307,L,260,Mikael Backlund,CGY,1089.7804,31,1.24,2.0,0,2.0,6,43,1.73,97,3.9,0,,7,12,,66,85,79,60,2.41,424
18,2,20,,1,71,2,McDonagh,0,22,8474151,12,20,0.28169,D,0,0,20222023,0,0,0.02564,L,78,Ryan McDonagh,NSH,1291.7464,165,6.47,2.0,0,2.0,0,59,2.31,63,2.47,0,,1,5,,37,43,57,47,1.84,178
0,2,2,,0,5,3,Pacioretty,0,2,8474157,0,3,0.6,L,1,1,20222023,0,0,0.1875,L,16,Max Pacioretty,CAR,818.6,1,0.87,,0,,0,2,1.75,4,3.51,0,,0,0,,10,10,8,1,0.87,34
5,0,5,0.33333,0,11,1,Voracek,0,0,8474161,-7,6,0.54545,R,1,1,20222023,0,0,0.05882,L,17,Jakub Voracek,CBJ,957.5454,7,2.39,0.0,0,0.0,0,1,0.34,2,0.68,0,,0,1,,3,4,6,4,1.36,27
1,0,1,,0,4,0,Muzzin,0,2,8474162,0,1,0.25,D,0,0,20222023,0,0,0.0,L,8,Jake Muzzin,TOR,1002.75,10,8.97,0.0,0,0.0,0,5,4.48,11,9.87,0,,0,0,,4,4,7,2,1.79,19
11,2,13,,2,77,3,Martinez,1,29,8474166,30,14,0.18181,D,0,0,20222023,1,1,0.03947,L,76,Alec Martinez,VGK,1153.4935,244,9.88,1.0,0,1.0,1,30,1.21,48,1.94,2,,0,3,,36,41,80,29,1.17,197
13,9,22,0.53665,1,84,10,Eller,0,46,8474189,3,23,0.2738,C,0,0,20222023,1,1,0.07142,L,140,Lars Eller,"WSH,COL",887.5119,42,2.02,1.0,1,2.0,0,36,1.73,93,4.49,0,,5,3,,43,51,77,40,1.93,268
2,0,2,1.0,0,18,0,Simmonds,0,49,8474190,1,2,0.11111,R,0,0,20222023,0,0,0.0,R,9,Wayne Simmonds,TOR,446.9444,7,3.13,0.0,0,0.0,0,0,0.0,44,19.68,0,,0,0,,5,5,6,3,1.34,20
14,2,15,,0,65,2,Holden,0,10,8474207,0,16,0.24615,D,0,0,20222023,0,1,0.02739,L,73,Nick Holden,OTT,1002.4307,69,3.81,3.0,0,3.0,0,31,1.71,79,4.36,0,,1,2,,24,27,49,10,0.55,149
0,0,0,,0,1,0,Demers,0,0,8474218,-1,0,0.0,D,0,0,20222023,0,0,0.0,R,1,Jason Demers,EDM,644.0,3,16.77,,0,,0,1,5.59,3,16.77,0,,0,0,,0,0,0,0,0.0,1
43,5,25,,2,81,9,Doughty,0,34,8474563,12,52,0.64197,D,4,27,20222023,0,0,0.06206,R,145,Drew Doughty,LAK,1573.7407,104,2.93,2.0,1,3.0,2,59,1.66,115,3.24,0,,1,7,,46,54,91,22,0.62,290
50,20,49,0.53813,6,81,34,Stamkos,2,46,8474564,-5,84,1.03703,C,14,35,20222023,0,0,0.14166,R,240,Steven Stamkos,TBL,1141.2469,51,1.98,2.0,1,3.0,7,54,2.1,92,3.58,2,,11,6,,84,103,106,25,0.97,449
43,10,38,1.0,3,73,11,Pietrangelo,1,16,8474565,13,54,0.73972,D,1,14,20222023,0,2,0.0647,R,170,Alex Pietrangelo,VGK,1438.8767,177,6.06,1.0,2,3.0,2,52,1.78,65,2.22,1,,0,8,,57,66,99,56,1.91,335
4,1,5,1.0,0,46,1,Bogosian,0,42,8474567,-4,5,0.10869,D,0,0,20222023,0,0,0.01851,R,54,Zach Bogosian,TBL,898.5,50,4.35,0.0,0,0.0,0,25,2.17,114,9.92,0,,1,0,,18,19,44,5,0.43,117
18,4,20,,0,70,4,Schenn,0,84,8474568,8,22,0.31428,D,0,0,20222023,0,2,0.04938,R,81,Luke Schenn,"VAN,TOR",981.2857,98,5.13,2.0,0,2.0,0,33,1.72,318,16.66,0,,0,2,,34,36,60,11,0.57,177
17,8,22,0.41666,2,64,8,Bailey,0,2,8474573,3,25,0.39062,R,0,3,20222023,0,0,0.11111,L,72,Josh Bailey,NYI,908.3125,31,1.91,1.0,0,1.0,1,47,2.91,11,0.68,0,,0,1,,21,22,21,21,1.3,115
16,1,16,,0,78,1,Myers,0,76,8474574,-16,17,0.21794,D,0,0,20222023,0,1,0.01,R,100,Tyler Myers,VAN,1254.3846,144,5.29,4.0,0,4.0,0,48,1.76,93,3.42,1,,0,2,,39,42,76,25,0.91,218
